model,cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_defined_json,n_outer_folds,n_oof_compounds,pooled_oof_mean_abs_group_shap,fold_mean_mean_abs_group_shap,fold_sd_mean_abs_group_shap,fold_mean_normalized_group_shap,fold_sd_normalized_group_shap,pooled_oof_mean_signed_group_shap,fold_mean_cancellation_fraction,minimum_fold_mean_abs_group_shap,maximum_fold_mean_abs_group_shap,fraction_folds_positive_mean_signed,minimum_cluster_size_used_by_model,maximum_cluster_size_used_by_model,raw_importance_rank_within_model,normalized_importance_rank_within_model
custom_mtl_original,cluster_98,98,Cluster 98: MOMI-Y (n=8),MOMI-Y,MOMI-Y,8,"[""MOMI-Y"", ""MOMI-X"", ""Diameter"", ""Radius"", ""GeomRadius"", ""GeomDiameter"", ""GGI10"", ""GGI9""]",5,3156,0.006002132738496715,0.0060024893151610585,0.0024877047601922398,0.00406581937252239,0.0017813051465796323,0.0006761575512161032,0.22142004596319712,0.002676914887731013,0.00923830764193255,0.8,8,8,54,49
custom_mtl_original,cluster_25,25,Cluster 25: TMWC10 (n=31),TMWC10,TMWC10,31,"[""TMWC10"", ""Zagreb1"", ""MWC02"", ""GRAVH"", ""Xp-2d"", ""SRW04"", ""MPC2"", ""ATS0d"", ""MWC01"", ""nBondsO"", ""SRW02"", ""Zagreb2"", ""MWC03"", ""GRAV"", ""ATS2Z"", ""Xp-3d"", ""SZ"", ""GRAVHp"", ""MW"", ""Sm"", ""ATS1Z"", ""ATS1d"", ""ATS2m"", ""ATS3Z"", ""ATS1m"", ""GRAVp"", ""ATS3m"", ""ATS4Z"", ""ATSC0d"", ""ATS4m"", ""Xp-2dv""]",5,3156,0.005830598768086498,0.005831746048875553,0.0029240383384410203,0.003998225235858148,0.002230025456672555,0.00010771188927593815,0.3640227477842898,0.002210927878615325,0.010006549678959325,0.4,31,31,55,52
custom_mtl_original,cluster_79,79,Cluster 79: ATSC8v (n=2),ATSC8v,ATSC8v,2,"[""ATSC8v"", ""ATSC8p""]",5,3156,0.005802405203969433,0.005802412620096432,0.0030144079325712817,0.003937736919236135,0.002251268075318373,-0.00033526714655677587,0.10906440953661119,0.0018939949468495458,0.010369992103572593,0.2,2,2,56,54
custom_mtl_original,cluster_2155,2155,Cluster 2155: SRW10 (n=11),SRW10,SRW10,11,"[""SRW10"", ""Xpc-5d"", ""MWC08"", ""Xpc-6d"", ""MWC09"", ""MWC07"", ""MWC10"", ""Xpc-4d"", ""GGI3"", ""GGI4"", ""GGI2""]",5,3156,0.005800663988726837,0.0057975074938749534,0.005591655123168644,0.004031181764834037,0.004089764578155237,8.113390362713689e-05,0.2924572105678587,0.0026663695013980767,0.01575940524641535,0.4,11,11,57,50
custom_mtl_original,cluster_2159,2159,Cluster 2159: IC2 (n=1),IC2,IC2,1,"[""IC2""]",5,3156,0.0056296416270656836,0.00562950650038867,0.003957631577959922,0.003637139988197098,0.0021638915944853492,-0.0008560376882919332,0.0,0.0016626426878802027,0.012005274454283293,0.2,1,1,58,61
custom_mtl_original,cluster_97,97,Cluster 97: DPSA3 (n=3),DPSA3,DPSA3,3,"[""DPSA3"", ""WNSA3"", ""PNSA3""]",5,3156,0.005524840766298199,0.0055258585065536365,0.0027971767293395572,0.0037692743815511158,0.0019998545036047366,0.0003188356982491391,0.20506087891007113,0.00231387026039581,0.008417028426679794,0.6,3,3,59,59
custom_mtl_original,cluster_1,1,Cluster 1: AATS0Z (n=9),AATS0Z,AATS0Z,9,"[""AATS0Z"", ""MZ"", ""AATS0m"", ""Mm"", ""AMW"", ""AATS1m"", ""AATS1Z"", ""MIC0"", ""IC0""]",5,3156,0.005496308483526786,0.005495254378695346,0.0025995166206957488,0.0037634048107868185,0.0019439136105408748,0.00025940554686311115,0.30579446119692066,0.001862881134035167,0.008822009226725417,0.6,9,9,60,60
custom_mtl_original,cluster_1854,1854,Cluster 1854: ECFP_74 (n=1),ECFP_74,ECFP_74,1,"[""ECFP_74""]",5,3156,0.0054770135860156485,0.005478032398826639,0.00450668361152573,0.003888463353923688,0.0032809028983256535,-0.0003634177000060509,0.0,0.0,0.010627640549907308,0.4,1,1,61,56
custom_mtl_original,cluster_50,50,Cluster 50: ATSC4i (n=1),ATSC4i,ATSC4i,1,"[""ATSC4i""]",5,3156,0.005467329234952625,0.00546759449753029,0.00263708978897763,0.003554278613675926,0.0013329282069886564,-0.00025760349981489625,0.0,0.0026238209218555223,0.009176655087423402,0.2,1,1,62,64
custom_mtl_original,cluster_2313,2313,Cluster 2313: WPSA1 (n=3),WPSA1,WPSA1,3,"[""WPSA1"", ""PPSA1"", ""TASA""]",5,3156,0.005436942051685245,0.005438038179906365,0.004473762648719648,0.00355178374504337,0.0027677463592400047,0.00010043375171878428,0.1451243733811582,0.0019786575140522005,0.011144590110910374,0.4,3,3,63,65
