model,cluster_key,cluster_id,cluster_label,algorithmic_medoid,selected_representative,cluster_size_defined,members_defined_json,n_outer_folds,n_oof_compounds,pooled_oof_mean_abs_group_shap,fold_mean_mean_abs_group_shap,fold_sd_mean_abs_group_shap,fold_mean_normalized_group_shap,fold_sd_normalized_group_shap,pooled_oof_mean_signed_group_shap,fold_mean_cancellation_fraction,minimum_fold_mean_abs_group_shap,maximum_fold_mean_abs_group_shap,fraction_folds_positive_mean_signed,minimum_cluster_size_used_by_model,maximum_cluster_size_used_by_model,raw_importance_rank_within_model,normalized_importance_rank_within_model
lightgbm_mse_regression,cluster_1208,1208,Cluster 1208: ECFP_1997 (n=1),ECFP_1997,ECFP_1997,1,"[""ECFP_1997""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1207,1207,Cluster 1207: ECFP_1996 (n=1),ECFP_1996,ECFP_1996,1,"[""ECFP_1996""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1206,1206,Cluster 1206: ECFP_1995 (n=1),ECFP_1995,ECFP_1995,1,"[""ECFP_1995""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1205,1205,Cluster 1205: ECFP_1994 (n=1),ECFP_1994,ECFP_1994,1,"[""ECFP_1994""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1204,1204,Cluster 1204: ECFP_1993 (n=1),ECFP_1993,ECFP_1993,1,"[""ECFP_1993""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1203,1203,Cluster 1203: ECFP_1992 (n=1),ECFP_1992,ECFP_1992,1,"[""ECFP_1992""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1202,1202,Cluster 1202: ECFP_1991 (n=1),ECFP_1991,ECFP_1991,1,"[""ECFP_1991""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1201,1201,Cluster 1201: ECFP_1990 (n=1),ECFP_1990,ECFP_1990,1,"[""ECFP_1990""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_119,119,Cluster 119: ECFP_1015 (n=1),ECFP_1015,ECFP_1015,1,"[""ECFP_1015""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1199,1199,Cluster 1199: ECFP_1989 (n=1),ECFP_1989,ECFP_1989,1,"[""ECFP_1989""]",4,2525,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1198,1198,Cluster 1198: ECFP_1988 (n=1),ECFP_1988,ECFP_1988,1,"[""ECFP_1988""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1196,1196,Cluster 1196: ECFP_1986 (n=1),ECFP_1986,ECFP_1986,1,"[""ECFP_1986""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1195,1195,Cluster 1195: ECFP_1985 (n=1),ECFP_1985,ECFP_1985,1,"[""ECFP_1985""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1194,1194,Cluster 1194: ECFP_1984 (n=1),ECFP_1984,ECFP_1984,1,"[""ECFP_1984""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1193,1193,Cluster 1193: ECFP_1983 (n=1),ECFP_1983,ECFP_1983,1,"[""ECFP_1983""]",4,2525,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1191,1191,Cluster 1191: ECFP_1981 (n=1),ECFP_1981,ECFP_1981,1,"[""ECFP_1981""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1190,1190,Cluster 1190: ECFP_1980 (n=1),ECFP_1980,ECFP_1980,1,"[""ECFP_1980""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1189,1189,Cluster 1189: ECFP_198 (n=1),ECFP_198,ECFP_198,1,"[""ECFP_198""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1188,1188,Cluster 1188: ECFP_1979 (n=1),ECFP_1979,ECFP_1979,1,"[""ECFP_1979""]",4,2525,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1217,1217,Cluster 1217: ECFP_2003 (n=1),ECFP_2003,ECFP_2003,1,"[""ECFP_2003""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1218,1218,Cluster 1218: ECFP_2004 (n=1),ECFP_2004,ECFP_2004,1,"[""ECFP_2004""]",5,3156,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1219,1219,Cluster 1219: ECFP_2005 (n=1),ECFP_2005,ECFP_2005,1,"[""ECFP_2005""]",4,2524,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
lightgbm_mse_regression,cluster_1231,1231,Cluster 1231: ECFP_2016 (n=1),ECFP_2016,ECFP_2016,1,"[""ECFP_2016""]",4,2525,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1,1,461,461
