scope,cluster_id,cluster_size,algorithmic_medoid,selected_representative,representative_source,mean_pairwise_abs_correlation,minimum_pairwise_abs_correlation,maximum_pairwise_abs_correlation,members_json,medoid_candidate_order_json
final,96,8,WPSA4,WPSA4,algorithmic_medoid,0.9154952064689853,0.8016853816474555,0.9931560011743921,"[""DPSA2"", ""FPSA2"", ""PPSA2"", ""PPSA3"", ""PPSA4"", ""WPSA2"", ""WPSA3"", ""WPSA4""]","[""WPSA4"", ""PPSA2"", ""WPSA2"", ""WPSA3"", ""FPSA2"", ""DPSA2"", ""PPSA4"", ""PPSA3""]"
final,97,3,DPSA3,DPSA3,algorithmic_medoid,0.9496634293461135,0.9353648184688064,0.9592491003397676,"[""DPSA3"", ""PNSA3"", ""WNSA3""]","[""DPSA3"", ""WNSA3"", ""PNSA3""]"
final,98,8,MOMI-Y,MOMI-Y,algorithmic_medoid,0.9075066512947749,0.814129162187096,0.9885694691644599,"[""Diameter"", ""GGI10"", ""GGI9"", ""GeomDiameter"", ""GeomRadius"", ""MOMI-X"", ""MOMI-Y"", ""Radius""]","[""MOMI-Y"", ""MOMI-X"", ""Diameter"", ""Radius"", ""GeomRadius"", ""GeomDiameter"", ""GGI10"", ""GGI9""]"
final,99,1,ECFP_0,ECFP_0,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_0""]","[""ECFP_0""]"
final,100,1,ECFP_1,ECFP_1,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1""]","[""ECFP_1""]"
final,101,1,ECFP_10,ECFP_10,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_10""]","[""ECFP_10""]"
final,102,1,ECFP_100,ECFP_100,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_100""]","[""ECFP_100""]"
final,103,1,ECFP_1000,ECFP_1000,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1000""]","[""ECFP_1000""]"
final,104,1,ECFP_1001,ECFP_1001,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1001""]","[""ECFP_1001""]"
final,105,1,ECFP_1002,ECFP_1002,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1002""]","[""ECFP_1002""]"
final,106,1,ECFP_1003,ECFP_1003,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1003""]","[""ECFP_1003""]"
final,107,1,ECFP_1004,ECFP_1004,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1004""]","[""ECFP_1004""]"
final,108,1,ECFP_1005,ECFP_1005,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1005""]","[""ECFP_1005""]"
final,109,1,ECFP_1006,ECFP_1006,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1006""]","[""ECFP_1006""]"
final,110,1,ECFP_1007,ECFP_1007,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1007""]","[""ECFP_1007""]"
final,111,1,ECFP_1008,ECFP_1008,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1008""]","[""ECFP_1008""]"
final,112,1,ECFP_1009,ECFP_1009,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1009""]","[""ECFP_1009""]"
final,113,1,ECFP_101,ECFP_101,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_101""]","[""ECFP_101""]"
final,114,1,ECFP_1010,ECFP_1010,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1010""]","[""ECFP_1010""]"
final,115,1,ECFP_1011,ECFP_1011,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1011""]","[""ECFP_1011""]"
final,116,1,ECFP_1012,ECFP_1012,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1012""]","[""ECFP_1012""]"
final,117,1,ECFP_1013,ECFP_1013,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1013""]","[""ECFP_1013""]"
final,118,1,ECFP_1014,ECFP_1014,algorithmic_medoid,1.0,1.0,1.0,"[""ECFP_1014""]","[""ECFP_1014""]"
