feature,n_nonmissing,missing_fraction,n_unique_nonmissing,status
ECFP_675,3156,0.0,2,included
ECFP_676,3156,0.0,2,included
ECFP_677,3156,0.0,2,included
ECFP_678,3156,0.0,2,included
ECFP_679,3156,0.0,2,included
ECFP_680,3156,0.0,2,included
ECFP_681,3156,0.0,2,included
ECFP_682,3156,0.0,2,included
ECFP_683,3156,0.0,2,included
ECFP_684,3156,0.0,2,included
ECFP_685,3156,0.0,2,included
ECFP_686,3156,0.0,2,included
ECFP_687,3156,0.0,2,included
ECFP_688,3156,0.0,2,included
ECFP_689,3156,0.0,2,included
ECFP_690,3156,0.0,2,included
ECFP_691,3156,0.0,2,included
ECFP_692,3156,0.0,2,included
ECFP_693,3156,0.0,2,included
ECFP_694,3156,0.0,2,included
ECFP_695,3156,0.0,2,included
ECFP_696,3156,0.0,2,included
ECFP_697,3156,0.0,2,included
ECFP_698,3156,0.0,2,included
ECFP_699,3156,0.0,2,included
ECFP_700,3156,0.0,2,included
ECFP_701,3156,0.0,2,included
ECFP_702,3156,0.0,2,included
ECFP_703,3156,0.0,2,included
ECFP_704,3156,0.0,2,included
ECFP_705,3156,0.0,2,included
ECFP_706,3156,0.0,2,included
ECFP_707,3156,0.0,2,included
ECFP_708,3156,0.0,2,included
ECFP_709,3156,0.0,2,included
ECFP_710,3156,0.0,2,included
ECFP_711,3156,0.0,2,included
ECFP_712,3156,0.0,2,included
ECFP_713,3156,0.0,2,included
ECFP_714,3156,0.0,2,included
ECFP_715,3156,0.0,2,included
ECFP_716,3156,0.0,2,included
ECFP_717,3156,0.0,2,included
ECFP_718,3156,0.0,2,included
ECFP_719,3156,0.0,2,included
ECFP_720,3156,0.0,2,included
ECFP_721,3156,0.0,2,included
ECFP_722,3156,0.0,2,included
ECFP_723,3156,0.0,2,included
ECFP_724,3156,0.0,2,included
ECFP_725,3156,0.0,2,included
ECFP_726,3156,0.0,2,included
ECFP_727,3156,0.0,2,included
ECFP_728,3156,0.0,2,included
ECFP_729,3156,0.0,2,included
ECFP_730,3156,0.0,2,included
ECFP_731,3156,0.0,2,included
ECFP_732,3156,0.0,2,included
ECFP_733,3156,0.0,2,included
ECFP_734,3156,0.0,2,included
ECFP_735,3156,0.0,2,included
ECFP_736,3156,0.0,2,included
ECFP_737,3156,0.0,2,included
ECFP_738,3156,0.0,2,included
ECFP_739,3156,0.0,2,included
ECFP_740,3156,0.0,2,included
ECFP_741,3156,0.0,2,included
ECFP_742,3156,0.0,2,included
ECFP_743,3156,0.0,2,included
ECFP_744,3156,0.0,2,included
ECFP_745,3156,0.0,2,included
ECFP_746,3156,0.0,2,included
ECFP_747,3156,0.0,2,included
ECFP_748,3156,0.0,2,included
ECFP_749,3156,0.0,2,included
ECFP_750,3156,0.0,2,included
ECFP_751,3156,0.0,2,included
ECFP_752,3156,0.0,2,included
ECFP_753,3156,0.0,2,included
ECFP_754,3156,0.0,2,included
ECFP_755,3156,0.0,2,included
ECFP_756,3156,0.0,2,included
ECFP_757,3156,0.0,2,included
ECFP_758,3156,0.0,2,included
ECFP_759,3156,0.0,2,included
ECFP_760,3156,0.0,2,included
ECFP_761,3156,0.0,2,included
ECFP_762,3156,0.0,2,included
ECFP_763,3156,0.0,2,included
ECFP_764,3156,0.0,2,included
ECFP_765,3156,0.0,2,included
ECFP_766,3156,0.0,2,included
ECFP_767,3156,0.0,2,included
ECFP_768,3156,0.0,2,included
