scope,cluster_id,algorithmic_medoid,selected_representative,representative_feature
final,387,ECFP_1200,ECFP_1200,ECFP_1200
final,388,ECFP_1201,ECFP_1201,ECFP_1201
final,389,ECFP_1202,ECFP_1202,ECFP_1202
final,390,ECFP_1203,ECFP_1203,ECFP_1203
final,391,ECFP_1204,ECFP_1204,ECFP_1204
final,392,ECFP_1205,ECFP_1205,ECFP_1205
final,393,ECFP_1206,ECFP_1206,ECFP_1206
final,394,ECFP_1207,ECFP_1207,ECFP_1207
final,395,ECFP_1208,ECFP_1208,ECFP_1208
final,396,ECFP_1209,ECFP_1209,ECFP_1209
final,397,ECFP_121,ECFP_121,ECFP_121
final,398,ECFP_1210,ECFP_1210,ECFP_1210
final,399,ECFP_1211,ECFP_1211,ECFP_1211
final,400,ECFP_1212,ECFP_1212,ECFP_1212
final,401,ECFP_1213,ECFP_1213,ECFP_1213
final,402,ECFP_1214,ECFP_1214,ECFP_1214
final,403,ECFP_1215,ECFP_1215,ECFP_1215
final,404,ECFP_1216,ECFP_1216,ECFP_1216
final,405,ECFP_1217,ECFP_1217,ECFP_1217
final,406,ECFP_1218,ECFP_1218,ECFP_1218
final,407,ECFP_1219,ECFP_1219,ECFP_1219
final,408,ECFP_122,ECFP_122,ECFP_122
final,409,ECFP_1220,ECFP_1220,ECFP_1220
final,410,ECFP_1221,ECFP_1221,ECFP_1221
final,411,ECFP_1222,ECFP_1222,ECFP_1222
final,412,ECFP_1223,ECFP_1223,ECFP_1223
final,413,ECFP_1224,ECFP_1224,ECFP_1224
final,414,ECFP_1225,ECFP_1225,ECFP_1225
final,415,ECFP_1226,ECFP_1226,ECFP_1226
final,416,ECFP_1227,ECFP_1227,ECFP_1227
final,417,ECFP_1228,ECFP_1228,ECFP_1228
final,418,ECFP_123,ECFP_123,ECFP_123
final,419,ECFP_1231,ECFP_1231,ECFP_1231
final,420,ECFP_1232,ECFP_1232,ECFP_1232
final,421,ECFP_1233,ECFP_1233,ECFP_1233
final,422,ECFP_1234,ECFP_1234,ECFP_1234
final,423,ECFP_1235,ECFP_1235,ECFP_1235
final,424,ECFP_1236,ECFP_1236,ECFP_1236
final,425,ECFP_1237,ECFP_1237,ECFP_1237
final,426,ECFP_1238,ECFP_1238,ECFP_1238
final,427,ECFP_1239,ECFP_1239,ECFP_1239
final,428,ECFP_124,ECFP_124,ECFP_124
final,429,ECFP_1240,ECFP_1240,ECFP_1240
final,430,ECFP_1241,ECFP_1241,ECFP_1241
final,431,ECFP_1242,ECFP_1242,ECFP_1242
final,432,ECFP_1243,ECFP_1243,ECFP_1243
final,433,ECFP_1244,ECFP_1244,ECFP_1244
final,434,ECFP_1245,ECFP_1245,ECFP_1245
final,435,ECFP_1246,ECFP_1246,ECFP_1246
final,436,ECFP_1247,ECFP_1247,ECFP_1247
final,437,ECFP_1248,ECFP_1248,ECFP_1248
final,438,ECFP_1249,ECFP_1249,ECFP_1249
final,439,ECFP_125,ECFP_125,ECFP_125
final,440,ECFP_1250,ECFP_1250,ECFP_1250
final,441,ECFP_1251,ECFP_1251,ECFP_1251
final,442,ECFP_150,ECFP_150,ECFP_150
