scope,cluster_id,cluster_size,medoid_candidate_rank,feature,mean_distance_to_cluster,mean_abs_correlation_to_cluster,min_abs_correlation_to_cluster,max_abs_correlation_to_cluster,missing_fraction,n_nonmissing,variance_after_imputation,algorithmic_medoid,selected_representative,is_algorithmic_medoid,is_selected_representative,members_json
final,1480,1,1,ECFP_383,0.0,1.0,1.0,1.0,0.0,860,0.012627095727420226,ECFP_383,ECFP_383,True,True,"[""ECFP_383""]"
final,1481,1,1,ECFP_384,0.0,1.0,1.0,1.0,0.0,860,0.005780151433207137,ECFP_384,ECFP_384,True,True,"[""ECFP_384""]"
final,1482,1,1,ECFP_385,0.0,1.0,1.0,1.0,0.0,860,0.00921579232017307,ECFP_385,ECFP_385,True,True,"[""ECFP_385""]"
final,1483,1,1,ECFP_386,0.0,1.0,1.0,1.0,0.0,860,0.0034762033531638738,ECFP_386,ECFP_386,True,True,"[""ECFP_386""]"
final,1484,1,1,ECFP_387,0.0,1.0,1.0,1.0,0.0,860,0.12586668469442944,ECFP_387,ECFP_387,True,True,"[""ECFP_387""]"
final,1485,1,1,ECFP_389,0.0,1.0,1.0,1.0,0.0,860,0.2203839913466739,ECFP_389,ECFP_389,True,True,"[""ECFP_389""]"
final,1486,1,1,ECFP_39,0.0,1.0,1.0,1.0,0.0,860,0.0069280692266089775,ECFP_39,ECFP_39,True,True,"[""ECFP_39""]"
final,1487,1,1,ECFP_390,0.0,1.0,1.0,1.0,0.0,860,0.010355597620335314,ECFP_390,ECFP_390,True,True,"[""ECFP_390""]"
final,1488,1,1,ECFP_391,0.0,1.0,1.0,1.0,0.0,860,0.0057801514332071376,ECFP_391,ECFP_391,True,True,"[""ECFP_391""]"
final,1489,1,1,ECFP_392,0.0,1.0,1.0,1.0,0.0,860,0.05884802595997839,ECFP_392,ECFP_392,True,True,"[""ECFP_392""]"
final,1490,1,1,ECFP_394,0.0,1.0,1.0,1.0,0.0,860,0.01149269875608437,ECFP_394,ECFP_394,True,True,"[""ECFP_394""]"
final,1491,1,1,ECFP_395,0.0,1.0,1.0,1.0,0.0,860,0.010355597620335314,ECFP_395,ECFP_395,True,True,"[""ECFP_395""]"
final,1492,2,1,ECFP_396,0.18397937165187683,0.8160206283481232,0.8160206283481232,0.8160206283481232,0.0,860,0.0034762033531638738,ECFP_396,ECFP_396,True,True,"[""ECFP_396"", ""ECFP_854""]"
final,1492,2,2,ECFP_854,0.18397937165187683,0.8160206283481232,0.8160206283481232,0.8160206283481232,0.0,860,0.002320173066522443,ECFP_396,ECFP_396,False,False,"[""ECFP_396"", ""ECFP_854""]"
