scope,cluster_id,cluster_size,feature,algorithmic_medoid,selected_representative,representative_source,is_algorithmic_medoid,is_selected_representative,medoid_candidate_rank,mean_distance_to_cluster,mean_abs_correlation_to_cluster,min_abs_correlation_to_cluster,max_abs_correlation_to_cluster,missing_fraction,n_nonmissing,variance_after_imputation,members_json
final,6,5,AATS1p,Mp,Mp,algorithmic_medoid,False,False,3,0.09234413305426448,0.9076558669457355,0.837193068529539,0.9367890961633,0.004651162790697674,856,0.28145517426465505,"[""AATS0p"", ""AATS1p"", ""AATS2p"", ""AATS3p"", ""Mp""]"
final,6,5,AATS0p,Mp,Mp,algorithmic_medoid,False,False,4,0.10020691759020894,0.8997930824097911,0.8050002527613649,0.9690234656590703,0.0,860,101.22906877123182,"[""AATS0p"", ""AATS1p"", ""AATS2p"", ""AATS3p"", ""Mp""]"
final,6,5,AATS3p,Mp,Mp,algorithmic_medoid,False,False,5,0.15268110327100448,0.8473188967289955,0.8050002527613649,0.8970553957577103,0.00813953488372093,853,0.04929461738172479,"[""AATS0p"", ""AATS1p"", ""AATS2p"", ""AATS3p"", ""Mp""]"
final,7,7,AATSC0are,AATSC0are,AATSC0are,algorithmic_medoid,True,True,1,0.07553729899863093,0.9244627010013691,0.8758514411519416,0.9936529915907826,0.004651162790697674,856,0.005112918799041491,"[""AATS0s"", ""AATS2s"", ""AATSC0are"", ""AATSC0dv"", ""AATSC0pe"", ""AATSC0s"", ""AATSC0se""]"
final,7,7,AATSC0pe,AATSC0are,AATSC0are,algorithmic_medoid,False,False,2,0.08056205872643118,0.9194379412735688,0.8667245434475722,0.9936529915907826,0.002325581395348837,858,0.0035962576039309945,"[""AATS0s"", ""AATS2s"", ""AATSC0are"", ""AATSC0dv"", ""AATSC0pe"", ""AATSC0s"", ""AATSC0se""]"
final,7,7,AATS0s,AATSC0are,AATSC0are,algorithmic_medoid,False,False,3,0.0809739528396003,0.9190260471603997,0.8790879810579305,0.9892381895143555,0.0069767441860465115,854,9.336788687004075,"[""AATS0s"", ""AATS2s"", ""AATSC0are"", ""AATSC0dv"", ""AATSC0pe"", ""AATSC0s"", ""AATSC0se""]"
final,7,7,AATSC0se,AATSC0are,AATSC0are,algorithmic_medoid,False,False,4,0.08738440885287291,0.9126155911471271,0.8502485008152152,0.9853351712891073,0.0,860,0.003110677387539697,"[""AATS0s"", ""AATS2s"", ""AATSC0are"", ""AATSC0dv"", ""AATSC0pe"", ""AATSC0s"", ""AATSC0se""]"
final,7,7,AATSC0s,AATSC0are,AATSC0are,algorithmic_medoid,False,False,5,0.09350797257128829,0.9064920274287117,0.8539410132140948,0.9892381895143555,0.0069767441860465115,854,1.8243463514439089,"[""AATS0s"", ""AATS2s"", ""AATSC0are"", ""AATSC0dv"", ""AATSC0pe"", ""AATSC0s"", ""AATSC0se""]"
final,7,7,AATS2s,AATSC0are,AATSC0are,algorithmic_medoid,False,False,6,0.11832257292662351,0.8816774270733765,0.8502485008152152,0.9277842918654747,0.0069767441860465115,854,4.739137338822589,"[""AATS0s"", ""AATS2s"", ""AATSC0are"", ""AATSC0dv"", ""AATSC0pe"", ""AATSC0s"", ""AATSC0se""]"
final,7,7,AATSC0dv,AATSC0are,AATSC0are,algorithmic_medoid,False,False,7,0.12960588138330564,0.8703941186166944,0.8539410132140948,0.8790879810579305,0.0,860,0.9116893043518346,"[""AATS0s"", ""AATS2s"", ""AATSC0are"", ""AATSC0dv"", ""AATSC0pe"", ""AATSC0s"", ""AATSC0se""]"
final,8,5,AATS0v,AATS0v,AATS0v,algorithmic_medoid,True,True,1,0.06512094600139451,0.9348790539986055,0.8861428061735219,0.9785958943279796,0.0,860,5047.323473400794,"[""AATS0v"", ""AATS1v"", ""AATS2v"", ""GATS1v"", ""Mv""]"
final,8,5,AATS2v,AATS0v,AATS0v,algorithmic_medoid,False,False,2,0.07390769555590404,0.926092304444096,0.9133696522228334,0.9507186933471512,0.005813953488372093,855,854.3883930114152,"[""AATS0v"", ""AATS1v"", ""AATS2v"", ""GATS1v"", ""Mv""]"
final,8,5,Mv,AATS0v,AATS0v,algorithmic_medoid,False,False,3,0.07516766794837093,0.9248323320516291,0.8914346396400609,0.9785958943279796,0.0,860,0.006627517834988795,"[""AATS0v"", ""AATS1v"", ""AATS2v"", ""GATS1v"", ""Mv""]"
final,8,5,AATS1v,AATS0v,AATS0v,algorithmic_medoid,False,False,4,0.07594925770269567,0.9240507422973043,0.8744170342289942,0.9551380995974293,0.004651162790697674,856,607.9874812778436,"[""AATS0v"", ""AATS1v"", ""AATS2v"", ""GATS1v"", ""Mv""]"
final,8,5,GATS1v,AATS0v,AATS0v,algorithmic_medoid,False,False,5,0.10684101591162865,0.8931589840883714,0.8744170342289942,0.9206414563109083,0.004651162790697674,856,0.029210106037855652,"[""AATS0v"", ""AATS1v"", ""AATS2v"", ""GATS1v"", ""Mv""]"
final,9,7,AATS4se,AATS4se,AATS4se,algorithmic_medoid,True,True,1,0.09120678657773718,0.9087932134222628,0.8223829438907052,0.9896046386659382,0.010465116279069767,851,0.21554475160101158,"[""AATS1s"", ""AATS4are"", ""AATS4pe"", ""AATS4s"", ""AATS4se"", ""FNSA4"", ""FNSA5""]"
final,9,7,AATS4are,AATS4se,AATS4se,algorithmic_medoid,False,False,2,0.09189437777779308,0.9081056222222069,0.8321355136845984,0.9936039304885315,0.010465116279069767,851,0.26401480983923054,"[""AATS1s"", ""AATS4are"", ""AATS4pe"", ""AATS4s"", ""AATS4se"", ""FNSA4"", ""FNSA5""]"
final,9,7,AATS4pe,AATS4se,AATS4se,algorithmic_medoid,False,False,3,0.09945942602844704,0.900540573971553,0.8199238663280723,0.9936039304885315,0.010465116279069767,851,0.2366597950723591,"[""AATS1s"", ""AATS4are"", ""AATS4pe"", ""AATS4s"", ""AATS4se"", ""FNSA4"", ""FNSA5""]"
final,9,7,AATS4s,AATS4se,AATS4se,algorithmic_medoid,False,False,4,0.11320498255757772,0.8867950174424223,0.8322678908198327,0.942146082677312,0.010465116279069767,851,2.6750027578063573,"[""AATS1s"", ""AATS4are"", ""AATS4pe"", ""AATS4s"", ""AATS4se"", ""FNSA4"", ""FNSA5""]"
final,9,7,FNSA5,AATS4se,AATS4se,algorithmic_medoid,False,False,5,0.12981237853715888,0.8701876214628411,0.8367545252551426,0.947990279707446,0.005813953488372093,855,0.0016863585774183857,"[""AATS1s"", ""AATS4are"", ""AATS4pe"", ""AATS4s"", ""AATS4se"", ""FNSA4"", ""FNSA5""]"
final,9,7,FNSA4,AATS4se,AATS4se,algorithmic_medoid,False,False,6,0.13287898908392248,0.8671210109160775,0.8322678908198327,0.947990279707446,0.005813953488372093,855,0.00018859709200629533,"[""AATS1s"", ""AATS4are"", ""AATS4pe"", ""AATS4s"", ""AATS4se"", ""FNSA4"", ""FNSA5""]"
final,9,7,AATS1s,AATS4se,AATS4se,algorithmic_medoid,False,False,7,0.15192525884770458,0.8480747411522954,0.8199238663280723,0.8823839820611743,0.0069767441860465115,854,0.6674652249435881,"[""AATS1s"", ""AATS4are"", ""AATS4pe"", ""AATS4s"", ""AATS4se"", ""FNSA4"", ""FNSA5""]"
final,10,4,AATS4Z,AATS4Z,AATS4Z,algorithmic_medoid,True,True,1,0.0469960531592547,0.9530039468407453,0.9282017508442384,0.9989156817283197,0.010465116279069767,851,121.04449272810348,"[""AATS3Z"", ""AATS3m"", ""AATS4Z"", ""AATS4m""]"
final,10,4,AATS3m,AATS4Z,AATS4Z,algorithmic_medoid,False,False,2,0.04803104641435019,0.9519689535856498,0.9253082192127052,0.9987042335945665,0.00813953488372093,853,765.0289703980064,"[""AATS3Z"", ""AATS3m"", ""AATS4Z"", ""AATS4m""]"
